55,10,14,50.922,57.139,36.712,30.4,42.383,47.882,29.020
56,10,32,51.474,62.126,26.148,21.9,41.759,53.982,20.596
57,10,33,61.610,56.307,3.586,43.3,50.295,49.753,1.517
58,11,4,7.006,68.854,57.966,24.1,7.596,55.070,45.385
59,11,12,17.011,45.943,76.163,39.6,12.404,36.391,59.944
60,11,13,24.171,54.365,66.494,24.6,19.211,43.132,51.574
61,11,14,28.565,60.588,57.848,30.3,21.701,48.505,46.629
62,11,16,18.015,74.041,46.130,41.5,11.861,59.842,38.066
63,12,4,12.473,75.102,47.265,25.3,9.712,60.330,38.338
64,12,13,28.565,60.588,57.848,38.6,21.701,48.505,46.629
65,12,14,32.995,66.922,46.331,22.8,26.922,55.450,36.045
66,12,15,25.047,81.622,24.173,41.4,20.827,67.386,20.109
67,12,16,22.737,77.801,35.771,18.8,19.687,64.419,27.229
68,12,32,35.001,71.617,36.545,25.5,26.843,60.108,29.416
69,13,14,39.082,70.466,33.195,38.5,30.604,58.670,25.598
70,13,15,29.745,82.605,9.714,17.6,24.653,70.703,7.698
71,13,16,27.198,81.389,22.178,19.7,22.556,67.343,18.034
72,13,32,40.370,74.171,21.991,17.3,32.923,62.559,16.519
73,14,11,56.981,63.920,-9.199,42.2,46.190,55.842,-7.868
74,14,15,34.109,81.556,-5.795,27.1,27.667,67.941,-5.782
75,14,32,43.946,74.155,6.285,44.6,38.273,63.865,3.982
76,14,33,53.403,69.453,-16.610,29.8,42.580,59.801,-12.246
77,14,58,55.266,69.246,-27.839,38.3,42.269,58.022,-15.183
78,15,15,5.741,88.839,-3.384,42.3,8.389,73.305,-1.757
79,15,17,-17.136,86.594,8.572,39.5,-15.805,73.030,6.796
80,15,18,-19.195,86.979,-3.914,18.1,-16.396,72.552,-2.893
81,15,23,-31.427,82.919,-5.848,35.6,-25.613,69.899,-3.620
82,16,15,20.246,86.678,-3.705,18.0,17.017,72.629,-2.213
83,16,16,16.892,86.623,8.831,39.3,14.585,73.090,7.107
84,16,18,-4.702,88.855,-2.996,42.4,-8.097,73.123,-2.104
85,17,4,-7.756,69.659,56.736,24.3,-8.641,56.083,44.405
86,17,17,-18.032,73.924,46.318,41.5,-11.991,59.917,38.177
87,17,19,-17.043,46.222,75.958,39.7,-12.444,36.940,59.652
88,17,20,-25.118,53.046,67.091,25.0,-20.029,41.401,52.603
89,17,21,-28.983,60.732,57.392,30.5,-21.693,48.601,46.655
90,18,4,-12.183,75.112,47.396,25.6,-9.643,60.359,38.431
91,18,17,-21.978,77.992,35.943,18.9,-18.388,64.610,27.052
92,18,18,-26.659,80.971,24.302,41.6,-22.056,67.174,19.558
93,18,20,-29.870,60.913,56.558,38.8,-22.123,48.757,46.122
94,18,21,-33.693,66.538,46.214,23.1,-27.441,54.851,36.694
95,18,22,-35.887,71.719,35.187,25.7,-27.141,60.929,28.125
96,19,1,-11.271,0.875,97.717,28.5,-13.040,-2.208,77.091
97,19,19,-20.628,9.595,92.269,39.8,-18.259,1.817,74.952
98,19,24,-21.296,-28.597,100.886,39.5,-15.320,-30.783,80.092
99,19,25,-31.393,-19.205,96.059,28.5,-27.358,-19.157,77.161
100,19,26,-40.154,-9.559,89.734,40.9,-32.240,-15.335,74.841
101,20,1,-20.864,11.156,91.588,39.2,-19.271,3.418,73.949
102,20,19,-28.998,19.817,85.092,27.4,-23.493,13.126,69.742
103,20,20,-35.782,28.278,77.617,39.3,-26.656,20.186,64.321
104,20,25,-40.154,-9.559,89.734,39.3,-32.240,-15.335,74.841
105,20,26,-47.866,-0.586,81.981,27.8,-40.981,-8.199,67.333
106,20,27,-54.114,9.184,72.543,39.3,-42.912,6.476,60.597
107,21,19,-35.782,28.278,77.617,37.1,-26.656,20.186,64.321
108,21,20,-42.402,36.422,68.077,26.1,-36.694,26.623,55.652
109,21,21,-47.323,43.354,57.828,38.4,-38.195,33.703,47.828
110,21,26,-53.840,7.504,73.629,38.5,-42.323,4.969,61.243
111,21,27,-59.641,16.226,62.751,26.8,-48.473,12.868,53.327
112,21,28,-63.055,24.380,52.346,37.3,-52.004,17.925,45.506
113,22,20,-46.176,44.127,58.220,34.3,-37.616,34.819,47.036
114,22,21,-50.235,50.399,47.172,24.4,-40.402,41.060,39.007
115,22,22,-52.464,55.357,36.599,36.4,-43.183,47.079,29.360
116,22,27,-63.055,24.380,52.346,37.5,-52.004,17.925,45.506
117,22,28,-65.822,31.050,40.822,25.4,-54.204,26.160,35.065
118,22,29,-66.852,37.616,30.000,34.4,-54.241,32.675,27.158
119,23,21,-51.477,56.842,36.105,30.6,-42.567,48.133,28.884
120,23,22,-51.915,61.632,26.087,22.2,-41.992,53.638,20.583
121,23,23,-53.521,64.642,11.503,35.7,-44.096,56.373,9.813
122,23,28,-66.852,37.616,30.000,36.0,-54.241,32.675,27.158
123,23,29,-66.307,43.852,19.896,23.9,-53.961,37.706,17.005
124,23,30,-64.669,50.082,10.259,30.6,-53.335,43.995,6.828
125,23,31,-62.764,54.832,2.341,43.5,-51.817,47.726,1.741
126,24,18,-42.831,75.174,4.321,38.5,-37.574,64.425,2.595
127,24,22,-51.170,66.058,15.473,25.8,-42.778,57.661,13.135
128,24,23,-51.474,68.442,1.858,16.7,-43.361,60.285,1.020
129,24,29,-65.531,48.674,10.473,33.7,-53.759,42.621,7.336
130,24,30,-62.398,55.667,0.549,22.7,-50.954,48.751,0.011
131,24,31,-59.733,60.228,-6.941,26.0,-48.921,52.650,-5.774
132,25,9,64.816,49.986,9.799,33.2,53.558,43.869,6.123
133,25,11,62.248,55.701,1.772,22.4,51.147,48.567,0.862
134,25,15,41.294,76.295,4.268,37.9,36.475,64.706,2.840
135,25,32,49.880,67.061,16.679,25.7,42.227,58.039,12.754
136,25,33,60.021,59.750,-6.072,25.8,49.148,52.498,-5.330
137,26,2,-9.028,-74.928,90.765,26.7,-12.549,-63.272,70.999
138,26,24,-18.652,-67.572,93.670,39.3,-15.639,-56.317,76.655
139,26,34,-14.574,-96.211,67.984,39.7,-14.254,-79.726,57.828
140,26,35,-22.296,-90.485,73.272,25.2,-19.183,-77.082,61.065
141,26,36,-32.990,-83.299,76.950,33.1,-26.025,-72.397,62.161
142,27,2,-18.652,-67.572,93.670,37.5,-15.639,-56.317,76.655
143,27,24,-28.727,-57.876,94.966,27.8,-20.635,-50.523,77.440
144,27,25,-39.931,-48.809,92.417,38.5,-32.542,-46.900,73.303
145,27,35,-32.990,-83.299,76.950,38.9,-26.025,-72.397,62.161
146,27,36,-42.361,-75.330,78.655,26.3,-32.455,-63.395,66.440
147,27,37,-52.151,-67.827,76.106,37.3,-40.382,-58.769,61.340
148,28,24,-39.931,-48.809,92.417,40.2,-32.542,-46.900,73.303
149,28,25,-48.385,-37.767,88.469,27.5,-39.935,-35.003,71.122
150,28,26,-57.954,-29.020,80.896,37.9,-47.788,-28.645,66.721
151,28,36,-52.675,-66.030,76.752,37.5,-40.646,-57.342,62.631
152,28,37,-61.365,-56.683,72.432,26.8,-51.458,-52.016,56.217
153,28,38,-68.942,-47.992,66.170,40.3,-57.103,-44.508,55.598
154,29,25,-57.954,-29.020,80.896,41.6,-47.788,-28.645,66.721
